"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
1,0.044392465713277,0.00162535057884477,0.0766495500221124,0.398206765634112,0.479125868051654
2,0.800846221720197,0.000240418523396894,0.00589746908415561,0.150539044730292,0.0424768459419589
3,0.519283170388711,0.00127844394469741,0.0203910489830529,0.215923510525218,0.243123826158321
4,0.244112196679749,0.00695123410308019,0.0644193219698239,0.31295585836733,0.371561388880016
5,0.523341488421614,0.000314210466856275,0.0132632838818665,0.382697741167026,0.0803832760626367
6,0.242798259835393,0.000295952797371781,0.0180369990112196,0.599098095062327,0.139770693293689
7,0.207196790781961,0.00444547377175649,0.480015252441872,0.166868564902204,0.141473918102207
8,0.88353265572705,0.00136565120897994,0.0152700733960197,0.0199564989611171,0.0798751207068335
9,0.778731615366053,0.000183468926549834,0.00450910898495738,0.137295048947367,0.0792807577750737
10,0.424013931898117,0.000338439711176154,0.061083210409888,0.462824614044797,0.0517398039360213
11,0.871325927067932,9.12365322163036e-05,0.0018160358939812,0.075194480705991,0.0515723197998793
12,0.0283815761425312,0.000913535075779192,0.299347217709059,0.224262619105298,0.447095051967333
13,0.728191088229439,0.000779431974117726,0.0097733915509844,0.0905875805679909,0.170668507677468
14,0.886152250390259,0.000693571421177418,0.0085262426725422,0.0315205907849632,0.0731073447310582
15,0.922116726773283,0.000122222394926047,0.00367313742996674,0.0562659750818944,0.0178219383199299
16,0.849046276071924,0.000480320953159258,0.00318136494161691,0.0951116696737251,0.052180368359575
17,0.420196727736928,0.000455205569003739,0.0388213096534584,0.471583179766585,0.0689435772740251
18,0.556499474207903,0.00014177569603248,0.0026207760677018,0.417878494765505,0.0228594792628576
19,0.305225675160393,0.00246517941993878,0.0108216778095629,0.186569307771793,0.494918159838312
20,0.0104167118530323,0.00984660400892536,0.165452050059255,0.00729211577354066,0.806992518305246
21,0.678276187461184,0.000692574546693743,0.0120050172896421,0.250317357260952,0.0587088634415287
22,0.00275682898614136,0.00374181587072122,0.0175863387606962,0.00491274572244207,0.971002270659999
23,0.515726183453201,0.00037653744811394,0.017365329077164,0.285584890412292,0.180947059609229
24,0.00186270746945811,0.00176970269644145,0.0249548145787041,0.00153253450066429,0.969880240754732
25,0.555350689837249,0.000771862777411634,0.0225638085107935,0.248392875148848,0.172920763725698
26,0.185516431253707,0.00297403389602628,0.276179993442275,0.0421183681854665,0.493211173222526
27,0.967202657264483,5.05467884351744e-05,0.00160404944696353,0.00463145208874083,0.0265112944113776
28,0.0458523137109508,0.0171412780687611,0.172980900034959,0.0410378514988227,0.722987656686507
29,0.490811278812034,0.000328149297226551,0.0221259662905489,0.416229890409006,0.0705047151911836
30,0.451896985168282,0.000392241184122808,0.0254341349778867,0.459773284956428,0.0625033537132802
31,0.569140886823932,0.00163507782873989,0.0184853359076845,0.0323510008951235,0.378387698544521
32,0.843380457543792,0.00107722248940221,0.00541974000423504,0.0471281240950874,0.102994455867484
33,0.209818094054577,0.00330863468359263,0.104580124719871,0.0518019086252081,0.630491237916751
34,0.951116140034788,0.0024960954420406,0.0150099772835592,0.0197176084826735,0.0116601787569383
35,0.227389498523218,0.00911600205538174,0.0190668008326421,0.00883164453337639,0.735596054055382
36,0.385570583816119,0.000575663476614652,0.0247667398918085,0.451228175747709,0.137858837067748
37,0.0845795651757697,0.00249712179195417,0.0650714148002218,0.0122420589238461,0.835609839308208
38,0.883175276146808,0.000137329026440542,0.00174513605780667,0.0725399899778373,0.0424022687911073
39,0.397910641073312,0.000126305347577762,0.0105941719577194,0.424872473240885,0.166496408380506
40,0.290692278497534,0.0275361535008571,0.0610763658442394,0.0936294384397031,0.527065763717666
41,0.0351398515495914,0.000319857509206409,0.0617850489466981,0.561421896812538,0.341333345181966
